Model,CV Accuracy Mean,CV Accuracy Std,CV Precision Macro,CV Recall Macro,CV F1 Macro,CV F1 Weighted,Best Hyperparameters
K-Nearest Neighbors,0.9666666666666668,0.016666666666666653,0.9703703703703702,0.9666666666666668,0.9665359477124185,0.9665359477124185,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 3, 'classifier__weights': 'uniform'}"
Logistic Regression,0.9666666666666668,0.031180478223116186,0.9718518518518519,0.9666666666666668,0.9663367569249923,0.9663367569249923,"{'classifier__C': 10.0, 'classifier__solver': 'lbfgs'}"
