mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__metric,param_classifier__n_neighbors,param_classifier__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model_name,param_classifier__C,param_classifier__solver
0.0034929752349853516,0.0031423357787748424,0.0041253089904785155,0.003369221290741591,euclidean,1.0,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 1, 'classifier__weights': 'uniform'}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9416666666666668,0.020412414523193187,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0,K-Nearest Neighbors,,
0.003311443328857422,0.0031268850388044586,0.002770090103149414,0.0033926793028990756,euclidean,1.0,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 1, 'classifier__weights': 'distance'}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9416666666666668,0.020412414523193187,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0,K-Nearest Neighbors,,
0.0035880088806152345,0.003164538238909031,0.003905057907104492,0.003633580282011279,euclidean,3.0,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 3, 'classifier__weights': 'uniform'}",0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9666666666666668,0.016666666666666653,1,0.9791666666666666,0.9583333333333334,0.96875,0.9583333333333334,0.9791666666666666,0.96875,0.009316949906249091,K-Nearest Neighbors,,
0.004103851318359375,0.003353239223829652,0.004003095626831055,0.0032714529322867537,euclidean,3.0,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9666666666666668,0.016666666666666653,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,K-Nearest Neighbors,,
0.004479789733886718,0.002942964094122519,0.004020023345947266,0.003286041084581316,euclidean,5.0,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 5, 'classifier__weights': 'uniform'}",0.9583333333333334,1.0,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.026352313834736508,5,0.9791666666666666,0.9583333333333334,0.96875,0.96875,0.96875,0.96875,0.006588078458684101,K-Nearest Neighbors,,
0.00361485481262207,0.00313207876456338,0.004770088195800781,0.0028666506667363537,euclidean,5.0,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 5, 'classifier__weights': 'distance'}",0.9583333333333334,1.0,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.026352313834736508,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,K-Nearest Neighbors,,
0.0032158374786376955,0.0031811517930474065,0.0037990570068359374,0.0031670270498417655,euclidean,7.0,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 7, 'classifier__weights': 'uniform'}",0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9333333333333333,0.020412414523193187,27,0.96875,0.9479166666666666,0.96875,0.96875,0.9791666666666666,0.9666666666666666,0.010206207261596578,K-Nearest Neighbors,,
0.004499578475952148,0.0030832700987697965,0.0035331249237060547,0.002236095332751037,euclidean,7.0,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 7, 'classifier__weights': 'distance'}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9416666666666668,0.020412414523193187,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0,K-Nearest Neighbors,,
0.005316495895385742,0.0026896247202390098,0.0015762805938720702,0.0026353245795716416,euclidean,9.0,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 9, 'classifier__weights': 'uniform'}",0.9166666666666666,1.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.026352313834736508,5,0.9583333333333334,0.9375,0.9479166666666666,0.96875,0.9583333333333334,0.9541666666666666,0.010622957319984978,K-Nearest Neighbors,,
0.003824472427368164,0.0040700997624191345,0.0038944244384765624,0.0035780123278813954,euclidean,9.0,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 9, 'classifier__weights': 'distance'}",0.9166666666666666,1.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.026352313834736508,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,K-Nearest Neighbors,,
0.005868291854858399,0.0031766800384997835,0.0019568443298339845,0.002499910711746318,euclidean,11.0,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 11, 'classifier__weights': 'uniform'}",0.9583333333333334,1.0,0.875,0.9583333333333334,0.9583333333333334,0.95,0.04082482904638631,18,0.9583333333333334,0.9479166666666666,0.9479166666666666,0.9791666666666666,0.9583333333333334,0.9583333333333333,0.011410886614690962,K-Nearest Neighbors,,
0.0038402557373046877,0.003200664131023903,0.004155635833740234,0.0033931530379059274,euclidean,11.0,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 11, 'classifier__weights': 'distance'}",0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9666666666666668,0.016666666666666653,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,K-Nearest Neighbors,,
0.005504512786865234,0.0027523677315293813,0.0029500484466552734,0.0024429140873587687,euclidean,15.0,uniform,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 15, 'classifier__weights': 'uniform'}",0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.925,0.016666666666666698,28,0.96875,0.9375,0.9375,0.9479166666666666,0.96875,0.9520833333333332,0.014129854131510976,K-Nearest Neighbors,,
0.0023508548736572267,0.0028082444457894263,0.004578113555908203,0.0036217623984619116,euclidean,15.0,distance,"{'classifier__metric': 'euclidean', 'classifier__n_neighbors': 15, 'classifier__weights': 'distance'}",0.9166666666666666,1.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.026352313834736508,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,K-Nearest Neighbors,,
0.007323074340820313,0.0036941866380012503,0.005454444885253906,0.0016004009652688795,manhattan,1.0,uniform,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 1, 'classifier__weights': 'uniform'}",0.875,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9416666666666668,0.033333333333333354,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0,K-Nearest Neighbors,,
0.006353616714477539,0.002405007389803827,0.002670764923095703,0.0013871765157699376,manhattan,1.0,distance,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 1, 'classifier__weights': 'distance'}",0.875,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9416666666666668,0.033333333333333354,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0,K-Nearest Neighbors,,
0.00451970100402832,0.001283027399438944,0.002227783203125,0.0016104289686319866,manhattan,3.0,uniform,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 3, 'classifier__weights': 'uniform'}",0.9166666666666666,1.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.026352313834736508,5,0.9791666666666666,0.9479166666666666,0.9583333333333334,0.9479166666666666,0.96875,0.9604166666666666,0.012147816447594377,K-Nearest Neighbors,,
0.005731105804443359,0.0033030368762776716,0.0022633552551269533,0.0025154551761329574,manhattan,3.0,distance,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",0.9166666666666666,1.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.026352313834736508,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,K-Nearest Neighbors,,
0.003690290451049805,0.003159929013239051,0.005017614364624024,0.003187638961070926,manhattan,5.0,uniform,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 5, 'classifier__weights': 'uniform'}",0.9583333333333334,1.0,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.026352313834736508,5,0.96875,0.9479166666666666,0.96875,0.9791666666666666,0.96875,0.9666666666666666,0.01020620726159658,K-Nearest Neighbors,,
0.0032085895538330076,0.0029300046656894874,0.0027634620666503905,0.0033846898190539603,manhattan,5.0,distance,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 5, 'classifier__weights': 'distance'}",0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9666666666666668,0.016666666666666653,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,K-Nearest Neighbors,,
0.003361797332763672,0.0030816551249194545,0.005256271362304688,0.0034748976397498163,manhattan,7.0,uniform,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 7, 'classifier__weights': 'uniform'}",0.9166666666666666,1.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.026352313834736508,5,0.96875,0.9583333333333334,0.96875,0.9791666666666666,0.9791666666666666,0.9708333333333334,0.007795119555779016,K-Nearest Neighbors,,
0.004145240783691407,0.00310059259241598,0.004255056381225586,0.003606940378298591,manhattan,7.0,distance,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 7, 'classifier__weights': 'distance'}",0.9166666666666666,1.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.026352313834736508,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,K-Nearest Neighbors,,
0.0014179229736328125,0.0019458820529538298,0.006312370300292969,0.0014287492945066918,manhattan,9.0,uniform,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 9, 'classifier__weights': 'uniform'}",0.9166666666666666,1.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.026352313834736508,5,0.96875,0.9583333333333334,0.96875,0.9583333333333334,0.9583333333333334,0.9625,0.00510310363079827,K-Nearest Neighbors,,
0.004223299026489258,0.002850158178022797,0.0013841152191162109,0.0027682304382324217,manhattan,9.0,distance,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 9, 'classifier__weights': 'distance'}",0.9166666666666666,1.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.026352313834736508,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,K-Nearest Neighbors,,
0.005710172653198242,0.002871912701533386,0.0027683258056640627,0.003391112765556067,manhattan,11.0,uniform,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 11, 'classifier__weights': 'uniform'}",0.9166666666666666,1.0,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.95,0.0311804782231162,18,0.9583333333333334,0.9375,0.9375,0.9583333333333334,0.9583333333333334,0.95,0.010206207261596593,K-Nearest Neighbors,,
0.0014108657836914063,0.001756319402047822,0.004897499084472656,0.003904083406523855,manhattan,11.0,distance,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 11, 'classifier__weights': 'distance'}",0.9166666666666666,1.0,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.95,0.0311804782231162,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0,K-Nearest Neighbors,,
0.004938840866088867,0.0032174793796081276,0.0027534008026123048,0.002549023948637865,manhattan,15.0,uniform,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 15, 'classifier__weights': 'uniform'}",0.9583333333333334,1.0,0.9583333333333334,0.9166666666666666,0.9166666666666666,0.95,0.0311804782231162,18,0.9583333333333334,0.9375,0.9583333333333334,0.9583333333333334,0.96875,0.95625,0.01020620726159658,K-Nearest Neighbors,,
0.005388832092285157,0.002715520533904526,0.0025626182556152343,0.0025521409933967724,manhattan,15.0,distance,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 15, 'classifier__weights': 'distance'}",0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.026352313834736508,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,K-Nearest Neighbors,,
0.007157039642333984,0.0019346686783167496,0.004559850692749024,0.002764795254231008,,,,"{'classifier__C': 0.1, 'classifier__solver': 'lbfgs'}",0.9583333333333334,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.04564354645876384,5,0.9270833333333334,0.9375,0.9270833333333334,0.9270833333333334,0.9270833333333334,0.9291666666666668,0.004166666666666652,Logistic Regression,0.1,lbfgs
0.00897369384765625,0.002807474904530236,0.004957056045532227,0.002723220962290434,,,,"{'classifier__C': 1.0, 'classifier__solver': 'lbfgs'}",0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.026352313834736508,4,0.9583333333333334,0.9583333333333334,0.96875,0.96875,0.9791666666666666,0.9666666666666668,0.007795119555779016,Logistic Regression,1.0,lbfgs
0.010350751876831054,0.0037115516129214558,0.002559375762939453,0.0025903920950488012,,,,"{'classifier__C': 10.0, 'classifier__solver': 'lbfgs'}",1.0,1.0,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9666666666666668,0.031180478223116186,1,0.96875,0.9791666666666666,0.9791666666666666,0.9895833333333334,0.9895833333333334,0.98125,0.007795119555779065,Logistic Regression,10.0,lbfgs
0.00904989242553711,0.0026138486921750315,0.004020023345947266,0.0035419505625922834,,,,"{'classifier__C': 50.0, 'classifier__solver': 'lbfgs'}",1.0,1.0,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9666666666666668,0.031180478223116186,1,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9895833333333334,1.0,0.9854166666666668,0.008333333333333354,Logistic Regression,50.0,lbfgs
0.011349964141845702,0.00364446585861216,0.003541231155395508,0.003070101458734151,,,,"{'classifier__C': 100.0, 'classifier__solver': 'lbfgs'}",1.0,1.0,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9666666666666668,0.031180478223116186,1,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9895833333333334,1.0,0.9854166666666668,0.008333333333333354,Logistic Regression,100.0,lbfgs
